,Dataset,Accuracy,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity,Ablation,Seed
0,adult,0.8308561601768825,0.9998771649674488,7.739,0.757,0.045,9.284,2.128,None_change_dec_only_True,42
1,student,0.9363112038286906,0.99963185666953,11.585,0.937,0.37,33.128,3.19,None_change_dec_only_True,42
2,heloc,0.7128107074569789,1.0,5.64,0.665,0.211,24.064,1.291,None_change_dec_only_True,42
3,student_performance,0.9079754601226994,0.9447852760736196,19.827,0.92,0.716,21.607,4.255,None_change_dec_only_True,42
4,titanic,0.8251121076233184,0.9820627802690582,15.746,0.728,0.694,17.543,3.445,None_change_dec_only_True,42
5,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.281,30.0,0.562,None_change_dec_only_True,42
6,adult,0.8307333251443312,0.9993858248372436,7.654,0.745,0.047,9.225,2.112,None_change_dec_only_True,12
7,student,0.9333660571849308,0.99975457111302,11.568,0.942,0.372,33.096,3.192,None_change_dec_only_True,12
8,heloc,0.718546845124283,1.0,5.493,0.647,0.211,24.003,1.332,None_change_dec_only_True,12
9,student_performance,0.9079754601226994,0.9202453987730062,20.125,0.89,0.707,21.902,4.309,None_change_dec_only_True,12
10,titanic,0.8161434977578476,0.9730941704035876,15.239,0.73,0.74,17.031,3.511,None_change_dec_only_True,12
11,breast_cancer,0.9720279720279721,1.0,5.153,0.986,0.276,30.0,0.551,None_change_dec_only_True,12
12,adult,0.831101830241985,0.9997543299348974,7.706,0.748,0.048,9.296,2.141,None_change_dec_only_True,34
13,student,0.9252669039145908,0.99975457111302,11.552,0.927,0.372,33.093,3.178,None_change_dec_only_True,34
14,heloc,0.7177820267686424,0.9992351816443594,5.565,0.652,0.228,23.938,1.269,None_change_dec_only_True,34
15,student_performance,0.8957055214723927,0.9263803680981596,19.546,0.895,0.704,21.325,4.272,None_change_dec_only_True,34
16,titanic,0.8161434977578476,0.9730941704035876,15.828,0.711,0.706,17.614,3.521,None_change_dec_only_True,34
17,breast_cancer,0.965034965034965,1.0,5.197,0.985,0.272,30.0,0.558,None_change_dec_only_True,34
18,adult,0.8306104901117799,1.0,7.691,0.754,0.048,9.254,2.091,None_change_dec_only_True,56
19,student,0.9341023438458708,1.0,11.566,0.944,0.372,33.087,3.195,None_change_dec_only_True,56
20,heloc,0.7105162523900573,1.0,5.526,0.669,0.202,23.994,1.281,None_change_dec_only_True,56
21,student_performance,0.9018404907975459,0.9141104294478528,19.889,0.883,0.713,21.669,4.29,None_change_dec_only_True,56
22,titanic,0.8161434977578476,0.9775784753363228,15.539,0.712,0.698,17.327,3.49,None_change_dec_only_True,56
23,breast_cancer,0.965034965034965,1.0,5.176,0.987,0.274,30.0,0.547,None_change_dec_only_True,56
24,adult,0.831101830241985,0.9998771649674488,7.636,0.748,0.043,9.203,2.09,None_change_dec_only_True,3
25,student,0.9293164805497608,0.99950914222604,11.614,0.932,0.374,33.139,3.196,None_change_dec_only_True,3
26,heloc,0.7139579349904398,1.0,5.635,0.662,0.217,23.988,1.285,None_change_dec_only_True,3
27,student_performance,0.9018404907975459,0.9202453987730062,19.793,0.882,0.701,21.571,4.244,None_change_dec_only_True,3
28,titanic,0.8161434977578476,0.9686098654708521,15.543,0.709,0.721,17.327,3.551,None_change_dec_only_True,3
29,breast_cancer,0.9720279720279721,1.0,5.11,0.986,0.264,30.0,0.565,None_change_dec_only_True,3
30,adult,0.8291364697211645,0.9998771649674488,7.603,0.731,0.045,9.189,2.091,None_change_dec_only_True,67
31,student,0.9315253405325808,0.99926371333906,11.571,0.933,0.375,33.106,3.194,None_change_dec_only_True,67
32,heloc,0.7139579349904398,1.0,5.517,0.651,0.228,23.97,1.292,None_change_dec_only_True,67
33,student_performance,0.9079754601226994,0.8895705521472392,19.409,0.857,0.698,21.19,4.257,None_change_dec_only_True,67
34,titanic,0.820627802690583,0.9730941704035876,15.714,0.739,0.702,17.507,3.47,None_change_dec_only_True,67
35,breast_cancer,0.965034965034965,1.0,5.087,0.987,0.277,30.0,0.545,None_change_dec_only_True,67
36,adult,0.831101830241985,0.9997543299348974,7.686,0.749,0.041,9.286,2.137,None_change_dec_only_True,98
37,student,0.9304209105411708,0.99963185666953,11.522,0.928,0.374,33.088,3.19,None_change_dec_only_True,98
38,heloc,0.7151051625239006,1.0,5.604,0.656,0.226,23.988,1.308,None_change_dec_only_True,98
39,student_performance,0.9079754601226994,0.9263803680981596,19.743,0.893,0.708,21.521,4.281,None_change_dec_only_True,98
40,titanic,0.8161434977578476,0.9910313901345292,15.305,0.719,0.72,17.103,3.506,None_change_dec_only_True,98
41,breast_cancer,0.9720279720279721,1.0,5.184,0.987,0.274,30.0,0.561,None_change_dec_only_True,98
42,adult,0.8303648200466773,1.0,7.711,0.755,0.047,9.313,2.12,None_change_dec_only_True,4
43,student,0.9289483372192908,0.99975457111302,11.469,0.942,0.371,33.033,3.177,None_change_dec_only_True,4
44,heloc,0.7139579349904398,1.0,5.635,0.678,0.214,24.085,1.365,None_change_dec_only_True,4
45,student_performance,0.9079754601226994,0.8895705521472392,20.384,0.864,0.708,22.16,4.264,None_change_dec_only_True,4
46,titanic,0.820627802690583,0.9596412556053812,15.352,0.708,0.72,17.148,3.561,None_change_dec_only_True,4
47,breast_cancer,0.965034965034965,1.0,5.166,0.986,0.279,30.0,0.556,None_change_dec_only_True,4
48,adult,0.8285222945584081,0.9992629898046924,7.604,0.731,0.041,9.211,2.088,None_change_dec_only_True,23
49,student,0.9354522027242608,0.99963185666953,11.626,0.944,0.375,33.137,3.199,None_change_dec_only_True,23
50,heloc,0.7193116634799235,1.0,5.501,0.597,0.252,23.928,1.377,None_change_dec_only_True,23
51,student_performance,0.9018404907975459,0.8711656441717791,19.524,0.846,0.706,21.301,4.273,None_change_dec_only_True,23
52,titanic,0.8161434977578476,0.9551569506726456,15.258,0.717,0.695,17.058,3.41,None_change_dec_only_True,23
53,breast_cancer,0.958041958041958,1.0,5.149,0.986,0.265,30.0,0.553,None_change_dec_only_True,23
54,adult,0.8290136346886132,0.9998771649674488,7.907,0.755,0.049,9.468,2.11,None_change_dec_only_True,8
55,student,0.9293164805497608,0.9991409988955698,11.511,0.939,0.366,33.09,3.178,None_change_dec_only_True,8
56,heloc,0.7154875717017208,1.0,5.67,0.651,0.212,24.103,1.391,None_change_dec_only_True,8
57,student_performance,0.9079754601226994,0.9079754601226994,19.584,0.879,0.705,21.362,4.245,None_change_dec_only_True,8
58,titanic,0.820627802690583,0.9865470852017936,15.962,0.734,0.72,17.749,3.522,None_change_dec_only_True,8
59,breast_cancer,0.965034965034965,1.0,5.145,0.987,0.269,30.0,0.544,None_change_dec_only_True,8
60,adult,0.8307333251443312,0.9998771649674488,7.671,0.759,0.044,9.222,2.104,None_change_dec_only_False,42
61,student,0.9366793471591608,0.99975457111302,11.581,0.942,0.371,33.122,3.189,None_change_dec_only_False,42
62,heloc,0.7131931166347992,0.9996175908221796,5.618,0.667,0.209,24.063,1.281,None_change_dec_only_False,42
63,student_performance,0.9018404907975459,0.9447852760736196,19.815,0.921,0.717,21.595,4.258,None_change_dec_only_False,42
64,titanic,0.8161434977578476,0.9820627802690582,15.703,0.728,0.693,17.498,3.439,None_change_dec_only_False,42
65,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.281,30.0,0.562,None_change_dec_only_False,42
66,adult,0.830241985014126,0.9997543299348974,7.702,0.747,0.049,9.264,2.134,None_change_dec_only_False,12
67,student,0.9317707694195608,0.99963185666953,11.577,0.941,0.373,33.109,3.194,None_change_dec_only_False,12
68,heloc,0.7204588910133843,1.0,5.503,0.641,0.209,24.013,1.334,None_change_dec_only_False,12
69,student_performance,0.9079754601226994,0.9202453987730062,20.125,0.89,0.707,21.902,4.31,None_change_dec_only_False,12
70,titanic,0.8161434977578476,0.9730941704035876,15.239,0.73,0.737,17.031,3.51,None_change_dec_only_False,12
71,breast_cancer,0.9720279720279721,1.0,5.154,0.986,0.277,30.0,0.551,None_change_dec_only_False,12
72,adult,0.8307333251443312,0.9996314949023462,7.663,0.744,0.049,9.234,2.121,None_change_dec_only_False,34
73,student,0.9253896183580808,0.99963185666953,11.556,0.928,0.372,33.091,3.179,None_change_dec_only_False,34
74,heloc,0.7162523900573614,1.0,5.565,0.656,0.229,23.928,1.257,None_change_dec_only_False,34
75,student_performance,0.9018404907975459,0.9202453987730062,19.509,0.895,0.704,21.288,4.272,None_change_dec_only_False,34
76,titanic,0.8161434977578476,0.9730941704035876,15.819,0.711,0.707,17.605,3.524,None_change_dec_only_False,34
77,breast_cancer,0.965034965034965,1.0,5.197,0.985,0.272,30.0,0.558,None_change_dec_only_False,34
78,adult,0.8299963149490235,1.0,7.691,0.753,0.047,9.261,2.065,None_change_dec_only_False,56
79,student,0.9347159160633206,1.0,11.566,0.946,0.372,33.09,3.195,None_change_dec_only_False,56
80,heloc,0.7120458891013385,1.0,5.558,0.665,0.205,23.999,1.292,None_change_dec_only_False,56
81,student_performance,0.9079754601226994,0.9079754601226994,19.877,0.883,0.715,21.656,4.292,None_change_dec_only_False,56
82,titanic,0.8116591928251121,0.9775784753363228,15.513,0.71,0.696,17.3,3.484,None_change_dec_only_False,56
83,breast_cancer,0.965034965034965,1.0,5.176,0.987,0.274,30.0,0.547,None_change_dec_only_False,56
84,adult,0.8298734799164722,0.9997543299348974,7.65,0.754,0.044,9.226,2.085,None_change_dec_only_False,3
85,student,0.9307890538716408,0.99950914222604,11.604,0.932,0.372,33.135,3.194,None_change_dec_only_False,3
86,heloc,0.7196940726577438,1.0,5.636,0.658,0.213,24.005,1.29,None_change_dec_only_False,3
87,student_performance,0.8957055214723927,0.9325153374233128,19.793,0.894,0.701,21.571,4.248,None_change_dec_only_False,3
88,titanic,0.8116591928251121,0.9730941704035876,15.596,0.711,0.721,17.381,3.547,None_change_dec_only_False,3
89,breast_cancer,0.9720279720279721,1.0,5.11,0.986,0.264,30.0,0.565,None_change_dec_only_False,3
90,adult,0.8296278098513696,0.9998771649674488,7.654,0.733,0.043,9.258,2.115,None_change_dec_only_False,67
91,student,0.9318934838630508,0.99938642778255,11.57,0.933,0.376,33.109,3.195,None_change_dec_only_False,67
92,heloc,0.7166347992351817,1.0,5.508,0.653,0.226,23.971,1.284,None_change_dec_only_False,67
93,student_performance,0.9079754601226994,0.8895705521472392,19.409,0.858,0.697,21.19,4.256,None_change_dec_only_False,67
94,titanic,0.820627802690583,0.9730941704035876,15.723,0.739,0.702,17.516,3.47,None_change_dec_only_False,67
95,breast_cancer,0.965034965034965,1.0,5.087,0.987,0.277,30.0,0.545,None_change_dec_only_False,67
96,adult,0.8308561601768825,0.9996314949023462,7.667,0.746,0.041,9.27,2.141,None_change_dec_only_False,98
97,student,0.9305436249846608,0.99963185666953,11.519,0.93,0.374,33.082,3.189,None_change_dec_only_False,98
98,heloc,0.7158699808795411,1.0,5.591,0.657,0.223,23.983,1.308,None_change_dec_only_False,98
99,student_performance,0.9079754601226994,0.9263803680981596,19.743,0.894,0.708,21.521,4.281,None_change_dec_only_False,98
100,titanic,0.8161434977578476,0.9910313901345292,15.305,0.719,0.721,17.103,3.507,None_change_dec_only_False,98
101,breast_cancer,0.9720279720279721,1.0,5.184,0.987,0.274,30.0,0.561,None_change_dec_only_False,98
102,adult,0.8296278098513696,1.0,7.746,0.75,0.048,9.34,2.134,None_change_dec_only_False,4
103,student,0.9282120505583508,0.99963185666953,11.47,0.943,0.371,33.033,3.177,None_change_dec_only_False,4
104,heloc,0.7135755258126195,0.9996175908221796,5.628,0.676,0.218,24.08,1.373,None_change_dec_only_False,4
105,student_performance,0.9141104294478528,0.8895705521472392,20.383,0.864,0.707,22.16,4.263,None_change_dec_only_False,4
106,titanic,0.820627802690583,0.9551569506726456,15.361,0.705,0.722,17.157,3.562,None_change_dec_only_False,4
107,breast_cancer,0.965034965034965,1.0,5.166,0.986,0.279,30.0,0.556,None_change_dec_only_False,4
108,adult,0.8288907996560619,0.9995086598697948,7.577,0.731,0.039,9.199,2.08,None_change_dec_only_False,23
109,student,0.9336114860719108,0.99975457111302,11.633,0.945,0.376,33.14,3.2,None_change_dec_only_False,23
110,heloc,0.7223709369024857,1.0,5.497,0.593,0.247,23.93,1.389,None_change_dec_only_False,23
111,student_performance,0.9018404907975459,0.8711656441717791,19.524,0.846,0.707,21.301,4.277,None_change_dec_only_False,23
112,titanic,0.8161434977578476,0.9551569506726456,15.267,0.717,0.695,17.067,3.407,None_change_dec_only_False,23
113,breast_cancer,0.958041958041958,1.0,5.149,0.986,0.266,30.0,0.553,None_change_dec_only_False,23
114,adult,0.831101830241985,0.9998771649674488,7.796,0.755,0.048,9.376,2.103,None_change_dec_only_False,8
115,student,0.9302981960976808,0.99938642778255,11.51,0.942,0.365,33.09,3.178,None_change_dec_only_False,8
116,heloc,0.7181644359464627,1.0,5.67,0.646,0.204,24.107,1.395,None_change_dec_only_False,8
117,student_performance,0.9079754601226994,0.9079754601226994,19.572,0.879,0.703,21.35,4.245,None_change_dec_only_False,8
118,titanic,0.820627802690583,0.9865470852017936,15.98,0.734,0.721,17.767,3.523,None_change_dec_only_False,8
119,breast_cancer,0.965034965034965,1.0,5.145,0.987,0.269,30.0,0.544,None_change_dec_only_False,8
120,adult,0.8308561601768825,0.10981451910084757,5.767,0.032,0.091,7.574,2.584,None_change_enc_only_True,42
121,student,0.9363112038286906,0.0803779604859492,10.665,0.053,0.373,32.987,3.181,None_change_enc_only_True,42
122,heloc,0.7128107074569789,0.05812619502868069,4.168,0.021,0.284,23.387,1.623,None_change_enc_only_True,42
123,student_performance,0.9079754601226994,0.098159509202454,18.774,0.084,0.694,20.528,4.316,None_change_enc_only_True,42
124,titanic,0.8251121076233184,0.07623318385650224,8.922,0.027,0.737,10.762,3.139,None_change_enc_only_True,42
125,breast_cancer,0.9720279720279721,0.0,2.54,0.013,0.271,30.0,0.543,None_change_enc_only_True,42
126,adult,0.8307333251443312,0.10662080825451417,5.717,0.029,0.085,7.525,2.563,None_change_enc_only_True,12
127,student,0.9333660571849308,0.0700699472327893,10.636,0.048,0.375,32.948,3.183,None_change_enc_only_True,12
128,heloc,0.718546845124283,0.08374760994263862,4.224,0.015,0.291,23.451,1.65,None_change_enc_only_True,12
129,student_performance,0.9079754601226994,0.07975460122699386,18.903,0.065,0.705,20.65,4.359,None_change_enc_only_True,12
130,titanic,0.8161434977578476,0.09865470852017937,8.923,0.045,0.748,10.762,3.198,None_change_enc_only_True,12
131,breast_cancer,0.9720279720279721,0.0,2.514,0.013,0.265,30.0,0.54,None_change_enc_only_True,12
132,adult,0.831101830241985,0.11607910576096304,5.871,0.036,0.094,7.673,2.586,None_change_enc_only_True,34
133,student,0.9252669039145908,0.07657381273775922,10.645,0.039,0.371,32.975,3.165,None_change_enc_only_True,34
134,heloc,0.7177820267686424,0.05736137667304015,4.144,0.02,0.28,23.385,1.632,None_change_enc_only_True,34
135,student_performance,0.8957055214723927,0.05521472392638037,18.249,0.047,0.702,20.0,4.314,None_change_enc_only_True,34
136,titanic,0.8161434977578476,0.08520179372197309,9.096,0.051,0.781,10.933,3.272,None_change_enc_only_True,34
137,breast_cancer,0.965034965034965,0.0,2.511,0.014,0.254,30.0,0.536,None_change_enc_only_True,34
138,adult,0.8306104901117799,0.11497359046800147,5.792,0.033,0.09,7.599,2.572,None_change_enc_only_True,56
139,student,0.9341023438458708,0.06724751503251933,10.662,0.048,0.374,32.975,3.185,None_change_enc_only_True,56
140,heloc,0.7105162523900573,0.06500956022944551,4.067,0.029,0.288,23.286,1.616,None_change_enc_only_True,56
141,student_performance,0.9018404907975459,0.07975460122699386,18.739,0.066,0.704,20.491,4.372,None_change_enc_only_True,56
142,titanic,0.8161434977578476,0.13452914798206278,9.184,0.045,0.728,11.022,3.181,None_change_enc_only_True,56
143,breast_cancer,0.965034965034965,0.0,2.534,0.011,0.262,30.0,0.534,None_change_enc_only_True,56
144,adult,0.831101830241985,0.10158457191991156,5.796,0.027,0.086,7.601,2.566,None_change_enc_only_True,3
145,student,0.9293164805497608,0.08332310712970918,10.636,0.055,0.373,32.965,3.181,None_change_enc_only_True,3
146,heloc,0.7139579349904398,0.05391969407265775,4.171,0.026,0.279,23.399,1.602,None_change_enc_only_True,3
147,student_performance,0.9018404907975459,0.07975460122699386,18.362,0.071,0.694,20.11,4.329,None_change_enc_only_True,3
148,titanic,0.8161434977578476,0.15695067264573992,9.852,0.078,0.801,11.686,3.43,None_change_enc_only_True,3
149,breast_cancer,0.9720279720279721,0.006993006993006993,2.515,0.014,0.251,30.0,0.552,None_change_enc_only_True,3
150,adult,0.8291364697211645,0.093108954673873,5.795,0.024,0.09,7.603,2.568,None_change_enc_only_True,67
151,student,0.9315253405325808,0.08700454043440912,10.641,0.056,0.375,32.965,3.183,None_change_enc_only_True,67
152,heloc,0.7139579349904398,0.07609942638623328,4.204,0.028,0.287,23.43,1.615,None_change_enc_only_True,67
153,student_performance,0.9079754601226994,0.04294478527607362,18.257,0.041,0.696,20.012,4.315,None_change_enc_only_True,67
154,titanic,0.820627802690583,0.04932735426008968,9.455,0.045,0.715,11.291,3.119,None_change_enc_only_True,67
155,breast_cancer,0.965034965034965,0.0,2.511,0.013,0.268,30.0,0.529,None_change_enc_only_True,67
156,adult,0.831101830241985,0.11006018916595013,5.823,0.033,0.086,7.628,2.567,None_change_enc_only_True,98
157,student,0.9304209105411708,0.09596269480917904,10.624,0.057,0.378,32.948,3.178,None_change_enc_only_True,98
158,heloc,0.7151051625239006,0.0627151051625239,4.157,0.027,0.273,23.389,1.628,None_change_enc_only_True,98
159,student_performance,0.9079754601226994,0.06748466257668713,18.421,0.06,0.696,20.172,4.338,None_change_enc_only_True,98
160,titanic,0.8161434977578476,0.08968609865470853,8.953,0.051,0.715,10.789,3.139,None_change_enc_only_True,98
161,breast_cancer,0.9720279720279721,0.006993006993006993,2.525,0.013,0.26,30.0,0.541,None_change_enc_only_True,98
162,adult,0.8303648200466773,0.10784915858002704,5.797,0.031,0.09,7.6,2.558,None_change_enc_only_True,4
163,student,0.9289483372192908,0.06589765615412935,10.598,0.041,0.371,32.919,3.167,None_change_enc_only_True,4
164,heloc,0.7139579349904398,0.07992351816443595,4.062,0.024,0.285,23.28,1.601,None_change_enc_only_True,4
165,student_performance,0.9079754601226994,0.08588957055214724,19.345,0.078,0.698,21.092,4.33,None_change_enc_only_True,4
166,titanic,0.820627802690583,0.06726457399103139,8.834,0.03,0.74,10.673,3.247,None_change_enc_only_True,4
167,breast_cancer,0.965034965034965,0.0,2.536,0.013,0.27,30.0,0.547,None_change_enc_only_True,4
168,adult,0.8285222945584081,0.08966957376243705,5.803,0.021,0.086,7.61,2.559,None_change_enc_only_True,23
169,student,0.9354522027242608,0.07681924162473923,10.663,0.056,0.378,32.977,3.193,None_change_enc_only_True,23
170,heloc,0.7193116634799235,0.09369024856596557,4.343,0.0,0.292,23.523,1.664,None_change_enc_only_True,23
171,student_performance,0.9018404907975459,0.06748466257668713,18.584,0.053,0.699,20.331,4.336,None_change_enc_only_True,23
172,titanic,0.8161434977578476,0.06726457399103139,8.947,0.041,0.672,10.789,3.001,None_change_enc_only_True,23
173,breast_cancer,0.958041958041958,0.0,2.554,0.014,0.254,30.0,0.547,None_change_enc_only_True,23
174,adult,0.8290136346886132,0.10563812799410392,5.83,0.028,0.088,7.637,2.577,None_change_enc_only_True,8
175,student,0.9293164805497608,0.07178794944164928,10.586,0.041,0.368,32.918,3.173,None_change_enc_only_True,8
176,heloc,0.7154875717017208,0.06309751434034416,4.125,0.026,0.264,23.325,1.623,None_change_enc_only_True,8
177,student_performance,0.9079754601226994,0.061349693251533735,18.492,0.059,0.704,20.245,4.315,None_change_enc_only_True,8
178,titanic,0.820627802690583,0.11659192825112108,9.758,0.055,0.731,11.596,3.248,None_change_enc_only_True,8
179,breast_cancer,0.965034965034965,0.006993006993006993,2.534,0.012,0.254,30.0,0.537,None_change_enc_only_True,8
180,adult,0.8307333251443312,0.11337673504483478,5.78,0.034,0.091,7.586,2.583,None_change_enc_only_False,42
181,student,0.9366793471591608,0.07387409498097926,10.671,0.049,0.373,32.99,3.183,None_change_enc_only_False,42
182,heloc,0.7131931166347992,0.059655831739961765,4.159,0.022,0.282,23.379,1.62,None_change_enc_only_False,42
183,student_performance,0.9018404907975459,0.098159509202454,18.762,0.076,0.694,20.515,4.315,None_change_enc_only_False,42
184,titanic,0.8161434977578476,0.07174887892376683,8.913,0.031,0.733,10.753,3.137,None_change_enc_only_False,42
185,breast_cancer,0.9720279720279721,0.0,2.54,0.013,0.271,30.0,0.543,None_change_enc_only_False,42
186,adult,0.830241985014126,0.10920034393809114,5.696,0.029,0.085,7.503,2.563,None_change_enc_only_False,12
187,student,0.9317707694195608,0.07227880721560928,10.634,0.047,0.375,32.945,3.182,None_change_enc_only_False,12
188,heloc,0.7204588910133843,0.08298279158699809,4.23,0.011,0.294,23.448,1.653,None_change_enc_only_False,12
189,student_performance,0.9079754601226994,0.07975460122699386,18.916,0.065,0.704,20.663,4.359,None_change_enc_only_False,12
190,titanic,0.8161434977578476,0.10762331838565024,8.905,0.054,0.747,10.744,3.197,None_change_enc_only_False,12
191,breast_cancer,0.9720279720279721,0.0,2.514,0.013,0.265,30.0,0.54,None_change_enc_only_False,12
192,adult,0.8307333251443312,0.1110428694263604,5.807,0.033,0.093,7.614,2.586,None_change_enc_only_False,34
193,student,0.9253896183580808,0.07620566940728922,10.652,0.041,0.37,32.979,3.165,None_change_enc_only_False,34
194,heloc,0.7162523900573614,0.061950286806883366,4.148,0.026,0.282,23.389,1.63,None_change_enc_only_False,34
195,student_performance,0.9018404907975459,0.049079754601227,18.262,0.047,0.703,20.012,4.312,None_change_enc_only_False,34
196,titanic,0.8161434977578476,0.08520179372197309,9.087,0.048,0.781,10.924,3.268,None_change_enc_only_False,34
197,breast_cancer,0.965034965034965,0.0,2.511,0.014,0.254,30.0,0.536,None_change_enc_only_False,34
198,adult,0.8299963149490235,0.11006018916595013,5.786,0.031,0.089,7.593,2.571,None_change_enc_only_False,56
199,student,0.9347159160633206,0.06663394281506932,10.668,0.049,0.374,32.981,3.185,None_change_enc_only_False,56
200,heloc,0.7120458891013385,0.0722753346080306,4.083,0.025,0.29,23.306,1.618,None_change_enc_only_False,56
201,student_performance,0.9079754601226994,0.0736196319018405,18.715,0.066,0.705,20.466,4.371,None_change_enc_only_False,56
202,titanic,0.8116591928251121,0.13901345291479822,9.184,0.045,0.726,11.022,3.182,None_change_enc_only_False,56
203,breast_cancer,0.965034965034965,0.0,2.534,0.011,0.262,30.0,0.534,None_change_enc_only_False,56
