,Dataset,Accuracy,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity,Ablation,Seed
204,adult,0.8298734799164722,0.09286328460877044,5.747,0.022,0.086,7.553,2.564,None_change_enc_only_False,3
205,student,0.9307890538716408,0.08467296600809915,10.641,0.055,0.373,32.971,3.181,None_change_enc_only_False,3
206,heloc,0.7196940726577438,0.05009560229445507,4.179,0.026,0.28,23.409,1.607,None_change_enc_only_False,3
207,student_performance,0.8957055214723927,0.0736196319018405,18.387,0.072,0.693,20.135,4.33,None_change_enc_only_False,3
208,titanic,0.8116591928251121,0.16143497757847533,9.879,0.076,0.801,11.713,3.428,None_change_enc_only_False,3
209,breast_cancer,0.9720279720279721,0.006993006993006993,2.514,0.014,0.251,30.0,0.552,None_change_enc_only_False,3
210,adult,0.8296278098513696,0.09937354133398846,5.782,0.027,0.089,7.59,2.569,None_change_enc_only_False,67
211,student,0.9318934838630508,0.08774082709534912,10.643,0.056,0.375,32.969,3.184,None_change_enc_only_False,67
212,heloc,0.7166347992351817,0.07074569789674952,4.211,0.031,0.284,23.435,1.613,None_change_enc_only_False,67
213,student_performance,0.9079754601226994,0.04294478527607362,18.257,0.041,0.695,20.012,4.315,None_change_enc_only_False,67
214,titanic,0.820627802690583,0.04932735426008968,9.446,0.045,0.716,11.283,3.123,None_change_enc_only_False,67
215,breast_cancer,0.965034965034965,0.0,2.51,0.013,0.268,30.0,0.529,None_change_enc_only_False,67
216,adult,0.8308561601768825,0.10907750890553987,5.814,0.03,0.087,7.62,2.566,None_change_enc_only_False,98
217,student,0.9305436249846608,0.09117683151306907,10.62,0.053,0.378,32.945,3.179,None_change_enc_only_False,98
218,heloc,0.7158699808795411,0.0627151051625239,4.165,0.03,0.275,23.395,1.63,None_change_enc_only_False,98
219,student_performance,0.9079754601226994,0.06748466257668713,18.433,0.06,0.695,20.184,4.338,None_change_enc_only_False,98
220,titanic,0.8161434977578476,0.08520179372197309,8.953,0.045,0.715,10.789,3.141,None_change_enc_only_False,98
221,breast_cancer,0.9720279720279721,0.006993006993006993,2.525,0.013,0.26,30.0,0.541,None_change_enc_only_False,98
222,adult,0.8296278098513696,0.10784915858002704,5.777,0.03,0.091,7.58,2.558,None_change_enc_only_False,4
223,student,0.9282120505583508,0.06454779727573935,10.609,0.041,0.371,32.928,3.167,None_change_enc_only_False,4
224,heloc,0.7135755258126195,0.08221797323135756,4.075,0.026,0.285,23.289,1.6,None_change_enc_only_False,4
225,student_performance,0.9141104294478528,0.0920245398773006,19.357,0.078,0.698,21.104,4.33,None_change_enc_only_False,4
226,titanic,0.820627802690583,0.06726457399103139,8.834,0.03,0.743,10.673,3.241,None_change_enc_only_False,4
227,breast_cancer,0.965034965034965,0.0,2.536,0.013,0.27,30.0,0.547,None_change_enc_only_False,4
228,adult,0.8288907996560619,0.09581132539000124,5.828,0.024,0.086,7.633,2.559,None_change_enc_only_False,23
229,student,0.9336114860719108,0.07510123941587925,10.667,0.056,0.379,32.98,3.194,None_change_enc_only_False,23
230,heloc,0.7223709369024857,0.09254302103250478,4.336,-0.002,0.289,23.519,1.664,None_change_enc_only_False,23
231,student_performance,0.9018404907975459,0.06748466257668713,18.559,0.056,0.699,20.307,4.336,None_change_enc_only_False,23
232,titanic,0.8161434977578476,0.06726457399103139,8.956,0.041,0.669,10.798,2.999,None_change_enc_only_False,23
233,breast_cancer,0.958041958041958,0.0,2.554,0.014,0.254,30.0,0.547,None_change_enc_only_False,23
234,adult,0.831101830241985,0.1057609630266552,5.85,0.028,0.088,7.657,2.579,None_change_enc_only_False,8
235,student,0.9302981960976808,0.07154252055466928,10.58,0.043,0.368,32.911,3.173,None_change_enc_only_False,8
236,heloc,0.7181644359464627,0.06003824091778201,4.129,0.025,0.26,23.33,1.62,None_change_enc_only_False,8
237,student_performance,0.9079754601226994,0.061349693251533735,18.492,0.059,0.703,20.245,4.315,None_change_enc_only_False,8
238,titanic,0.820627802690583,0.11659192825112108,9.767,0.056,0.731,11.605,3.25,None_change_enc_only_False,8
239,breast_cancer,0.965034965034965,0.006993006993006993,2.534,0.012,0.254,30.0,0.537,None_change_enc_only_False,8
240,adult,0.8308561601768825,0.9998771649674488,7.739,0.757,0.045,9.284,2.128,None_change_enc_dec_True,42
241,student,0.9363112038286906,0.99963185666953,11.585,0.937,0.37,33.128,3.19,None_change_enc_dec_True,42
242,heloc,0.7128107074569789,1.0,5.64,0.665,0.211,24.064,1.291,None_change_enc_dec_True,42
243,student_performance,0.9079754601226994,0.9447852760736196,19.827,0.92,0.716,21.607,4.255,None_change_enc_dec_True,42
244,titanic,0.8251121076233184,0.9820627802690582,15.746,0.728,0.694,17.543,3.445,None_change_enc_dec_True,42
245,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.281,30.0,0.562,None_change_enc_dec_True,42
246,adult,0.8307333251443312,0.9993858248372436,7.654,0.745,0.047,9.225,2.112,None_change_enc_dec_True,12
247,student,0.9333660571849308,0.99975457111302,11.568,0.942,0.372,33.096,3.192,None_change_enc_dec_True,12
248,heloc,0.718546845124283,1.0,5.493,0.647,0.211,24.003,1.332,None_change_enc_dec_True,12
249,student_performance,0.9079754601226994,0.9202453987730062,20.125,0.89,0.707,21.902,4.309,None_change_enc_dec_True,12
250,titanic,0.8161434977578476,0.9730941704035876,15.239,0.73,0.739,17.031,3.509,None_change_enc_dec_True,12
251,breast_cancer,0.9720279720279721,1.0,5.153,0.986,0.276,30.0,0.551,None_change_enc_dec_True,12
252,adult,0.831101830241985,0.9997543299348974,7.706,0.748,0.048,9.296,2.14,None_change_enc_dec_True,34
253,student,0.9252669039145908,0.99975457111302,11.552,0.927,0.372,33.093,3.178,None_change_enc_dec_True,34
254,heloc,0.7177820267686424,0.9992351816443594,5.565,0.652,0.228,23.938,1.269,None_change_enc_dec_True,34
255,student_performance,0.8957055214723927,0.9263803680981596,19.546,0.895,0.704,21.325,4.272,None_change_enc_dec_True,34
256,titanic,0.8161434977578476,0.9730941704035876,15.828,0.711,0.706,17.614,3.521,None_change_enc_dec_True,34
257,breast_cancer,0.965034965034965,1.0,5.197,0.985,0.272,30.0,0.558,None_change_enc_dec_True,34
258,adult,0.8306104901117799,1.0,7.691,0.754,0.048,9.254,2.091,None_change_enc_dec_True,56
259,student,0.9341023438458708,1.0,11.566,0.944,0.372,33.087,3.195,None_change_enc_dec_True,56
260,heloc,0.7105162523900573,1.0,5.526,0.669,0.202,23.994,1.281,None_change_enc_dec_True,56
261,student_performance,0.9018404907975459,0.9141104294478528,19.889,0.883,0.713,21.669,4.29,None_change_enc_dec_True,56
262,titanic,0.8161434977578476,0.9775784753363228,15.53,0.712,0.698,17.318,3.49,None_change_enc_dec_True,56
263,breast_cancer,0.965034965034965,1.0,5.176,0.987,0.274,30.0,0.547,None_change_enc_dec_True,56
264,adult,0.831101830241985,0.9998771649674488,7.636,0.748,0.043,9.203,2.09,None_change_enc_dec_True,3
265,student,0.9293164805497608,0.99950914222604,11.614,0.932,0.374,33.139,3.196,None_change_enc_dec_True,3
266,heloc,0.7139579349904398,1.0,5.635,0.662,0.217,23.988,1.285,None_change_enc_dec_True,3
267,student_performance,0.9018404907975459,0.9202453987730062,19.793,0.882,0.701,21.571,4.244,None_change_enc_dec_True,3
268,titanic,0.8161434977578476,0.9686098654708521,15.543,0.709,0.722,17.327,3.549,None_change_enc_dec_True,3
269,breast_cancer,0.9720279720279721,1.0,5.11,0.986,0.264,30.0,0.565,None_change_enc_dec_True,3
270,adult,0.8291364697211645,0.9998771649674488,7.603,0.731,0.045,9.189,2.091,None_change_enc_dec_True,67
271,student,0.9315253405325808,0.99926371333906,11.571,0.933,0.375,33.106,3.194,None_change_enc_dec_True,67
272,heloc,0.7139579349904398,1.0,5.517,0.651,0.228,23.969,1.292,None_change_enc_dec_True,67
273,student_performance,0.9079754601226994,0.8895705521472392,19.409,0.857,0.698,21.19,4.257,None_change_enc_dec_True,67
274,titanic,0.820627802690583,0.9730941704035876,15.715,0.739,0.702,17.507,3.47,None_change_enc_dec_True,67
275,breast_cancer,0.965034965034965,1.0,5.087,0.987,0.277,30.0,0.545,None_change_enc_dec_True,67
276,adult,0.831101830241985,0.9997543299348974,7.686,0.749,0.041,9.286,2.137,None_change_enc_dec_True,98
277,student,0.9304209105411708,0.99963185666953,11.522,0.928,0.374,33.088,3.19,None_change_enc_dec_True,98
278,heloc,0.7151051625239006,1.0,5.604,0.656,0.226,23.988,1.308,None_change_enc_dec_True,98
279,student_performance,0.9079754601226994,0.9263803680981596,19.743,0.893,0.708,21.521,4.281,None_change_enc_dec_True,98
280,titanic,0.8161434977578476,0.9910313901345292,15.305,0.719,0.72,17.103,3.506,None_change_enc_dec_True,98
281,breast_cancer,0.9720279720279721,1.0,5.184,0.987,0.274,30.0,0.561,None_change_enc_dec_True,98
282,adult,0.8303648200466773,1.0,7.711,0.755,0.047,9.313,2.12,None_change_enc_dec_True,4
283,student,0.9289483372192908,0.99975457111302,11.469,0.942,0.371,33.033,3.177,None_change_enc_dec_True,4
284,heloc,0.7139579349904398,1.0,5.635,0.678,0.214,24.086,1.365,None_change_enc_dec_True,4
285,student_performance,0.9079754601226994,0.8895705521472392,20.384,0.864,0.708,22.16,4.264,None_change_enc_dec_True,4
286,titanic,0.820627802690583,0.9596412556053812,15.352,0.708,0.72,17.148,3.561,None_change_enc_dec_True,4
287,breast_cancer,0.965034965034965,1.0,5.166,0.986,0.279,30.0,0.556,None_change_enc_dec_True,4
288,adult,0.8285222945584081,0.9992629898046924,7.604,0.731,0.041,9.211,2.088,None_change_enc_dec_True,23
289,student,0.9354522027242608,0.99963185666953,11.626,0.944,0.375,33.137,3.199,None_change_enc_dec_True,23
290,heloc,0.7193116634799235,1.0,5.501,0.597,0.252,23.928,1.377,None_change_enc_dec_True,23
291,student_performance,0.9018404907975459,0.8711656441717791,19.524,0.846,0.706,21.301,4.273,None_change_enc_dec_True,23
292,titanic,0.8161434977578476,0.9551569506726456,15.258,0.717,0.695,17.058,3.409,None_change_enc_dec_True,23
293,breast_cancer,0.958041958041958,1.0,5.149,0.986,0.265,30.0,0.553,None_change_enc_dec_True,23
294,adult,0.8290136346886132,0.9998771649674488,7.906,0.755,0.049,9.467,2.11,None_change_enc_dec_True,8
295,student,0.9293164805497608,0.9991409988955698,11.511,0.939,0.366,33.09,3.178,None_change_enc_dec_True,8
296,heloc,0.7154875717017208,1.0,5.67,0.651,0.212,24.104,1.391,None_change_enc_dec_True,8
297,student_performance,0.9079754601226994,0.9079754601226994,19.584,0.879,0.705,21.362,4.245,None_change_enc_dec_True,8
298,titanic,0.820627802690583,0.9865470852017936,15.971,0.734,0.717,17.758,3.521,None_change_enc_dec_True,8
299,breast_cancer,0.965034965034965,1.0,5.145,0.987,0.269,30.0,0.544,None_change_enc_dec_True,8
300,adult,0.8307333251443312,0.9998771649674488,7.671,0.759,0.044,9.222,2.104,None_change_enc_dec_False,42
301,student,0.9366793471591608,0.99975457111302,11.581,0.942,0.371,33.122,3.189,None_change_enc_dec_False,42
302,heloc,0.7131931166347992,0.9996175908221796,5.618,0.667,0.209,24.063,1.281,None_change_enc_dec_False,42
303,student_performance,0.9018404907975459,0.9447852760736196,19.815,0.921,0.717,21.595,4.258,None_change_enc_dec_False,42
304,titanic,0.8161434977578476,0.9820627802690582,15.712,0.728,0.693,17.507,3.439,None_change_enc_dec_False,42
305,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.281,30.0,0.562,None_change_enc_dec_False,42
306,adult,0.830241985014126,0.9997543299348974,7.702,0.747,0.049,9.264,2.134,None_change_enc_dec_False,12
307,student,0.9317707694195608,0.99963185666953,11.577,0.941,0.373,33.109,3.194,None_change_enc_dec_False,12
308,heloc,0.7204588910133843,1.0,5.503,0.641,0.209,24.013,1.334,None_change_enc_dec_False,12
309,student_performance,0.9079754601226994,0.9202453987730062,20.125,0.89,0.707,21.902,4.31,None_change_enc_dec_False,12
310,titanic,0.8161434977578476,0.9730941704035876,15.239,0.73,0.737,17.031,3.508,None_change_enc_dec_False,12
311,breast_cancer,0.9720279720279721,1.0,5.154,0.986,0.277,30.0,0.551,None_change_enc_dec_False,12
312,adult,0.8307333251443312,0.9996314949023462,7.663,0.744,0.049,9.234,2.121,None_change_enc_dec_False,34
313,student,0.9253896183580808,0.99963185666953,11.556,0.928,0.372,33.091,3.179,None_change_enc_dec_False,34
314,heloc,0.7162523900573614,1.0,5.565,0.656,0.229,23.928,1.257,None_change_enc_dec_False,34
315,student_performance,0.9018404907975459,0.9202453987730062,19.509,0.895,0.704,21.288,4.272,None_change_enc_dec_False,34
316,titanic,0.8161434977578476,0.9730941704035876,15.819,0.711,0.707,17.605,3.524,None_change_enc_dec_False,34
317,breast_cancer,0.965034965034965,1.0,5.197,0.985,0.272,30.0,0.558,None_change_enc_dec_False,34
318,adult,0.8299963149490235,1.0,7.691,0.753,0.047,9.261,2.065,None_change_enc_dec_False,56
319,student,0.9347159160633206,1.0,11.566,0.946,0.372,33.09,3.195,None_change_enc_dec_False,56
320,heloc,0.7120458891013385,1.0,5.558,0.665,0.205,23.999,1.292,None_change_enc_dec_False,56
321,student_performance,0.9079754601226994,0.9079754601226994,19.877,0.883,0.715,21.656,4.292,None_change_enc_dec_False,56
322,titanic,0.8116591928251121,0.9775784753363228,15.513,0.711,0.697,17.3,3.485,None_change_enc_dec_False,56
323,breast_cancer,0.965034965034965,1.0,5.176,0.987,0.274,30.0,0.547,None_change_enc_dec_False,56
324,adult,0.8298734799164722,0.9997543299348974,7.65,0.754,0.044,9.226,2.085,None_change_enc_dec_False,3
325,student,0.9307890538716408,0.99950914222604,11.604,0.932,0.372,33.135,3.194,None_change_enc_dec_False,3
326,heloc,0.7196940726577438,1.0,5.636,0.658,0.213,24.005,1.29,None_change_enc_dec_False,3
327,student_performance,0.8957055214723927,0.9325153374233128,19.793,0.894,0.701,21.571,4.247,None_change_enc_dec_False,3
328,titanic,0.8116591928251121,0.9730941704035876,15.596,0.711,0.721,17.381,3.547,None_change_enc_dec_False,3
329,breast_cancer,0.9720279720279721,1.0,5.111,0.986,0.264,30.0,0.565,None_change_enc_dec_False,3
330,adult,0.8296278098513696,0.9998771649674488,7.654,0.733,0.043,9.258,2.115,None_change_enc_dec_False,67
331,student,0.9318934838630508,0.99938642778255,11.57,0.933,0.376,33.109,3.195,None_change_enc_dec_False,67
332,heloc,0.7166347992351817,1.0,5.508,0.653,0.226,23.971,1.284,None_change_enc_dec_False,67
333,student_performance,0.9079754601226994,0.8895705521472392,19.409,0.858,0.697,21.19,4.256,None_change_enc_dec_False,67
334,titanic,0.820627802690583,0.9730941704035876,15.723,0.739,0.702,17.516,3.47,None_change_enc_dec_False,67
335,breast_cancer,0.965034965034965,1.0,5.087,0.987,0.277,30.0,0.545,None_change_enc_dec_False,67
336,adult,0.8308561601768825,0.9996314949023462,7.667,0.746,0.041,9.27,2.141,None_change_enc_dec_False,98
337,student,0.9305436249846608,0.99963185666953,11.519,0.93,0.374,33.082,3.189,None_change_enc_dec_False,98
338,heloc,0.7158699808795411,1.0,5.591,0.657,0.223,23.983,1.308,None_change_enc_dec_False,98
339,student_performance,0.9079754601226994,0.9263803680981596,19.743,0.894,0.708,21.521,4.281,None_change_enc_dec_False,98
340,titanic,0.8161434977578476,0.9910313901345292,15.305,0.719,0.721,17.103,3.507,None_change_enc_dec_False,98
341,breast_cancer,0.9720279720279721,1.0,5.184,0.987,0.274,30.0,0.561,None_change_enc_dec_False,98
342,adult,0.8296278098513696,1.0,7.746,0.75,0.048,9.34,2.134,None_change_enc_dec_False,4
343,student,0.9282120505583508,0.99963185666953,11.47,0.943,0.371,33.033,3.177,None_change_enc_dec_False,4
344,heloc,0.7135755258126195,0.9996175908221796,5.628,0.676,0.218,24.08,1.373,None_change_enc_dec_False,4
345,student_performance,0.9141104294478528,0.8895705521472392,20.383,0.864,0.707,22.16,4.263,None_change_enc_dec_False,4
346,titanic,0.820627802690583,0.9551569506726456,15.352,0.705,0.722,17.148,3.563,None_change_enc_dec_False,4
347,breast_cancer,0.965034965034965,1.0,5.166,0.986,0.279,30.0,0.556,None_change_enc_dec_False,4
348,adult,0.8288907996560619,0.9995086598697948,7.577,0.731,0.039,9.199,2.08,None_change_enc_dec_False,23
349,student,0.9336114860719108,0.99975457111302,11.633,0.945,0.376,33.14,3.2,None_change_enc_dec_False,23
350,heloc,0.7223709369024857,1.0,5.497,0.593,0.247,23.93,1.389,None_change_enc_dec_False,23
351,student_performance,0.9018404907975459,0.8711656441717791,19.524,0.846,0.707,21.301,4.277,None_change_enc_dec_False,23
352,titanic,0.8161434977578476,0.9551569506726456,15.267,0.717,0.695,17.067,3.407,None_change_enc_dec_False,23
353,breast_cancer,0.958041958041958,1.0,5.149,0.986,0.266,30.0,0.553,None_change_enc_dec_False,23
354,adult,0.831101830241985,0.9998771649674488,7.796,0.755,0.048,9.376,2.104,None_change_enc_dec_False,8
355,student,0.9302981960976808,0.99938642778255,11.51,0.942,0.365,33.09,3.178,None_change_enc_dec_False,8
356,heloc,0.7181644359464627,1.0,5.67,0.646,0.204,24.107,1.395,None_change_enc_dec_False,8
357,student_performance,0.9079754601226994,0.9079754601226994,19.572,0.879,0.703,21.35,4.245,None_change_enc_dec_False,8
358,titanic,0.820627802690583,0.9865470852017936,15.98,0.734,0.719,17.767,3.521,None_change_enc_dec_False,8
359,breast_cancer,0.965034965034965,1.0,5.145,0.987,0.269,30.0,0.544,None_change_enc_dec_False,8
360,adult,0.8298734799164722,0.9996314949023462,7.649,0.733,0.046,9.257,2.161,remove_enc_change_dec_only_True,42
361,student,0.9321389127500308,1.0,11.618,0.939,0.367,33.144,3.188,remove_enc_change_dec_only_True,42
362,heloc,0.7135755258126195,1.0,5.648,0.685,0.259,23.991,1.36,remove_enc_change_dec_only_True,42
363,student_performance,0.9018404907975459,0.9447852760736196,19.78,0.921,0.717,21.558,4.26,remove_enc_change_dec_only_True,42
364,titanic,0.820627802690583,0.9865470852017936,16.135,0.752,0.705,17.919,3.51,remove_enc_change_dec_only_True,42
365,breast_cancer,0.9720279720279721,1.0,5.186,0.986,0.264,30.0,0.55,remove_enc_change_dec_only_True,42
366,adult,0.8312246652745363,0.9996314949023462,7.69,0.739,0.046,9.289,2.142,remove_enc_change_dec_only_True,12
367,student,0.9341023438458708,0.99950914222604,11.557,0.941,0.37,33.094,3.19,remove_enc_change_dec_only_True,12
368,heloc,0.7147227533460803,1.0,5.536,0.642,0.233,23.966,1.36,remove_enc_change_dec_only_True,12
369,student_performance,0.9018404907975459,0.9447852760736196,20.072,0.917,0.707,21.853,4.296,remove_enc_change_dec_only_True,12
370,titanic,0.8251121076233184,0.9730941704035876,15.508,0.735,0.723,17.3,3.503,remove_enc_change_dec_only_True,12
371,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.263,29.993,0.56,remove_enc_change_dec_only_True,12
372,adult,0.8304876550792286,0.9997543299348974,7.584,0.734,0.04,9.196,2.111,remove_enc_change_dec_only_True,34
373,student,0.9311571972021108,0.99963185666953,11.652,0.944,0.377,33.17,3.201,remove_enc_change_dec_only_True,34
374,heloc,0.7112810707456979,0.9996175908221796,5.625,0.666,0.231,24.027,1.343,remove_enc_change_dec_only_True,34
375,student_performance,0.8834355828220859,0.9263803680981596,19.76,0.898,0.708,21.534,4.283,remove_enc_change_dec_only_True,34
376,titanic,0.8161434977578476,0.9641255605381166,15.672,0.731,0.695,17.462,3.508,remove_enc_change_dec_only_True,34
377,breast_cancer,0.965034965034965,1.0,5.241,0.986,0.276,30.0,0.57,remove_enc_change_dec_only_True,34
378,adult,0.8312246652745363,0.9998771649674488,7.753,0.745,0.045,9.36,2.184,remove_enc_change_dec_only_True,56
379,student,0.9320161983065408,0.99950914222604,11.528,0.946,0.37,33.065,3.184,remove_enc_change_dec_only_True,56
380,heloc,0.7212237093690248,1.0,5.52,0.67,0.229,23.902,1.361,remove_enc_change_dec_only_True,56
381,student_performance,0.9079754601226994,0.9141104294478528,19.838,0.89,0.713,21.62,4.288,remove_enc_change_dec_only_True,56
382,titanic,0.820627802690583,0.9775784753363228,15.524,0.711,0.708,17.318,3.479,remove_enc_change_dec_only_True,56
383,breast_cancer,0.9720279720279721,1.0,5.182,0.986,0.281,30.0,0.557,remove_enc_change_dec_only_True,56
384,adult,0.8296278098513696,0.9997543299348974,7.7,0.753,0.045,9.284,2.164,remove_enc_change_dec_only_True,3
385,student,0.9314026260890906,0.99975457111302,11.618,0.935,0.374,33.137,3.199,remove_enc_change_dec_only_True,3
386,heloc,0.7116634799235182,1.0,5.566,0.639,0.235,23.993,1.264,remove_enc_change_dec_only_True,3
387,student_performance,0.8957055214723927,0.9325153374233128,19.793,0.9,0.702,21.571,4.252,remove_enc_change_dec_only_True,3
388,titanic,0.820627802690583,0.9775784753363228,15.024,0.709,0.719,16.825,3.492,remove_enc_change_dec_only_True,3
389,breast_cancer,0.965034965034965,1.0,5.156,0.986,0.279,30.0,0.551,remove_enc_change_dec_only_True,3
390,adult,0.8308561601768825,1.0,7.879,0.753,0.048,9.432,2.125,remove_enc_change_dec_only_True,67
391,student,0.9309117683151308,0.99950914222604,11.623,0.939,0.377,33.115,3.199,remove_enc_change_dec_only_True,67
392,heloc,0.7151051625239006,1.0,5.657,0.664,0.218,24.066,1.326,remove_enc_change_dec_only_True,67
393,student_performance,0.9018404907975459,0.9079754601226994,19.387,0.878,0.692,21.166,4.239,remove_enc_change_dec_only_True,67
394,titanic,0.8251121076233184,0.9775784753363228,16.201,0.715,0.687,17.982,3.521,remove_enc_change_dec_only_True,67
395,breast_cancer,0.965034965034965,1.0,5.178,0.986,0.273,30.0,0.56,remove_enc_change_dec_only_True,67
396,adult,0.8314703353396389,0.9997543299348974,7.766,0.738,0.046,9.374,2.18,remove_enc_change_dec_only_True,98
397,student,0.9268621916799608,0.99975457111302,11.514,0.951,0.37,33.052,3.189,remove_enc_change_dec_only_True,98
398,heloc,0.7166347992351817,0.9996175908221796,5.625,0.648,0.233,23.997,1.322,remove_enc_change_dec_only_True,98
399,student_performance,0.8895705521472392,0.9325153374233128,19.817,0.903,0.706,21.595,4.282,remove_enc_change_dec_only_True,98
400,titanic,0.8161434977578476,0.9865470852017936,15.521,0.728,0.728,17.318,3.512,remove_enc_change_dec_only_True,98
401,breast_cancer,0.9720279720279721,1.0,5.163,0.986,0.277,30.0,0.559,remove_enc_change_dec_only_True,98
402,adult,0.8312246652745363,0.9997543299348974,7.704,0.751,0.049,9.3,2.13,remove_enc_change_dec_only_True,4
403,student,0.9341023438458708,0.9998772855565099,11.508,0.943,0.367,33.035,3.17,remove_enc_change_dec_only_True,4
404,heloc,0.7143403441682601,1.0,5.65,0.633,0.207,24.024,1.322,remove_enc_change_dec_only_True,4
405,student_performance,0.9079754601226994,0.8895705521472392,20.381,0.855,0.711,22.16,4.267,remove_enc_change_dec_only_True,4
406,titanic,0.8161434977578476,0.9730941704035876,15.378,0.722,0.713,17.175,3.518,remove_enc_change_dec_only_True,4
407,breast_cancer,0.9720279720279721,1.0,5.182,0.986,0.279,30.0,0.555,remove_enc_change_dec_only_True,4
408,adult,0.8298734799164722,0.9995086598697948,7.739,0.74,0.043,9.292,2.121,remove_enc_change_dec_only_True,23
