,Eps,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity
0,0.0,0.973,15.57,0.736,0.706,17.363,3.473
1,0.00404040404040404,0.978,15.651,0.713,0.725,17.404,3.488
2,0.00808080808080808,0.982,15.766,0.734,0.693,17.444,3.502
3,0.012121212121212121,0.982,15.776,0.736,0.727,17.39,3.499
4,0.01616161616161616,0.996,15.191,0.755,0.679,16.65,3.431
5,0.0202020202020202,0.987,15.694,0.738,0.719,17.112,3.522
6,0.024242424242424242,0.978,15.286,0.742,0.705,16.601,3.448
7,0.028282828282828285,0.987,15.446,0.727,0.693,16.722,3.463
8,0.03232323232323232,0.991,15.395,0.734,0.723,16.668,3.5
9,0.03636363636363636,0.991,15.877,0.757,0.728,17.081,3.519
10,0.0404040404040404,0.982,15.542,0.737,0.719,16.74,3.502
11,0.044444444444444446,0.978,15.573,0.734,0.732,16.704,3.452
12,0.048484848484848485,0.978,15.61,0.724,0.707,16.7,3.509
13,0.052525252525252523,0.987,15.619,0.738,0.689,16.704,3.424
14,0.05656565656565657,0.973,15.663,0.734,0.735,16.731,3.481
15,0.06060606060606061,0.978,16.01,0.726,0.726,17.049,3.503
16,0.06464646464646465,0.982,15.692,0.731,0.727,16.709,3.52
17,0.06868686868686869,0.973,15.197,0.716,0.688,16.175,3.435
18,0.07272727272727272,0.978,15.474,0.724,0.712,16.426,3.435
19,0.07676767676767676,0.991,15.833,0.737,0.702,16.767,3.49
20,0.0808080808080808,0.982,15.453,0.723,0.714,16.368,3.49
21,0.08484848484848485,0.987,15.325,0.729,0.725,16.117,3.484
22,0.08888888888888889,0.978,15.338,0.718,0.713,16.152,3.477
23,0.09292929292929293,0.978,15.603,0.722,0.726,16.386,3.471
24,0.09696969696969697,0.978,15.318,0.732,0.708,16.036,3.483
25,0.10101010101010101,0.991,16.023,0.747,0.701,16.709,3.519
26,0.10505050505050505,0.987,15.82,0.731,0.702,16.466,3.488
27,0.10909090909090909,0.991,15.573,0.73,0.708,16.175,3.476
28,0.11313131313131314,0.987,15.442,0.727,0.732,15.996,3.502
29,0.11717171717171718,0.978,15.812,0.715,0.709,16.314,3.499
30,0.12121212121212122,0.996,15.662,0.742,0.686,16.112,3.486
31,0.12525252525252525,0.973,15.569,0.73,0.726,16.0,3.498
32,0.1292929292929293,0.987,15.469,0.731,0.7,15.834,3.48
33,0.13333333333333333,0.973,15.296,0.718,0.727,15.7,3.463
34,0.13737373737373737,0.978,15.115,0.719,0.718,15.448,3.445
35,0.1414141414141414,0.996,15.324,0.734,0.706,15.623,3.475
36,0.14545454545454545,0.978,15.114,0.714,0.696,15.39,3.415
37,0.1494949494949495,0.964,15.284,0.698,0.715,15.552,3.475
38,0.15353535353535352,0.969,15.254,0.7,0.697,15.511,3.441
39,0.15757575757575756,0.973,15.639,0.714,0.714,15.883,3.497
40,0.1616161616161616,0.982,15.685,0.729,0.714,15.897,3.489
41,0.16565656565656567,0.969,15.58,0.712,0.734,15.807,3.534
42,0.1696969696969697,0.973,15.369,0.703,0.7,15.57,3.467
43,0.17373737373737375,0.982,14.975,0.71,0.725,15.179,3.49
44,0.17777777777777778,0.982,15.511,0.721,0.725,15.704,3.503
45,0.18181818181818182,0.964,15.626,0.707,0.705,15.812,3.486
46,0.18585858585858586,0.964,15.106,0.703,0.731,15.287,3.488
47,0.1898989898989899,0.978,15.337,0.722,0.703,15.516,3.46
48,0.19393939393939394,0.96,15.202,0.704,0.692,15.377,3.449
49,0.19797979797979798,0.969,15.336,0.697,0.717,15.507,3.506
50,0.20202020202020202,0.987,15.003,0.727,0.692,15.17,3.414
51,0.20606060606060606,0.973,15.539,0.71,0.7,15.7,3.44
52,0.2101010101010101,0.991,15.457,0.745,0.694,15.614,3.495
53,0.21414141414141413,0.982,15.152,0.712,0.699,15.305,3.478
54,0.21818181818181817,0.982,15.419,0.729,0.711,15.565,3.484
55,0.2222222222222222,0.978,15.204,0.713,0.688,15.354,3.433
56,0.22626262626262628,0.978,15.168,0.722,0.743,15.314,3.497
57,0.23030303030303031,0.982,15.606,0.725,0.728,15.749,3.52
58,0.23434343434343435,0.96,15.105,0.696,0.697,15.251,3.475
59,0.2383838383838384,0.973,15.237,0.713,0.715,15.377,3.496
60,0.24242424242424243,0.982,15.408,0.725,0.7,15.547,3.464
61,0.24646464646464647,0.969,15.299,0.704,0.719,15.435,3.473
62,0.2505050505050505,0.978,15.503,0.712,0.702,15.628,3.5
63,0.2545454545454545,0.969,15.277,0.702,0.738,15.404,3.473
64,0.2585858585858586,0.982,15.401,0.715,0.694,15.52,3.445
65,0.26262626262626265,0.982,15.318,0.717,0.71,15.43,3.498
66,0.26666666666666666,0.969,15.389,0.693,0.731,15.498,3.5
67,0.27070707070707073,0.991,15.728,0.728,0.734,15.834,3.534
68,0.27474747474747474,0.987,15.54,0.746,0.692,15.646,3.492
69,0.2787878787878788,0.991,15.555,0.736,0.729,15.655,3.509
70,0.2828282828282828,0.982,15.204,0.717,0.737,15.3,3.476
71,0.2868686868686869,0.973,15.244,0.72,0.694,15.327,3.497
72,0.2909090909090909,0.969,15.153,0.707,0.685,15.233,3.388
73,0.29494949494949496,0.996,15.815,0.734,0.697,15.892,3.508
74,0.298989898989899,0.991,15.367,0.731,0.727,15.444,3.501
75,0.30303030303030304,0.987,15.594,0.722,0.71,15.677,3.484
76,0.30707070707070705,0.982,15.624,0.722,0.704,15.695,3.521
77,0.3111111111111111,0.982,15.194,0.726,0.732,15.265,3.531
78,0.3151515151515151,0.991,15.484,0.712,0.71,15.543,3.451
79,0.3191919191919192,0.973,15.01,0.71,0.715,15.072,3.433
80,0.3232323232323232,0.969,15.637,0.718,0.732,15.7,3.527
81,0.32727272727272727,0.987,15.569,0.724,0.724,15.619,3.494
82,0.33131313131313134,0.982,15.5,0.726,0.72,15.556,3.509
83,0.33535353535353535,0.973,15.714,0.702,0.738,15.767,3.516
84,0.3393939393939394,0.982,15.345,0.717,0.699,15.395,3.488
85,0.3434343434343434,0.96,15.261,0.701,0.71,15.305,3.447
86,0.3474747474747475,0.969,15.037,0.694,0.717,15.081,3.475
87,0.3515151515151515,0.987,15.552,0.729,0.719,15.587,3.516
88,0.35555555555555557,0.964,15.047,0.696,0.71,15.076,3.47
89,0.3595959595959596,0.973,15.454,0.711,0.698,15.489,3.494
90,0.36363636363636365,0.987,15.639,0.731,0.688,15.668,3.482
91,0.36767676767676766,0.987,15.368,0.728,0.707,15.395,3.46
92,0.3717171717171717,0.982,15.108,0.714,0.714,15.135,3.475
93,0.37575757575757573,0.982,15.618,0.719,0.719,15.641,3.511
94,0.3797979797979798,0.982,15.123,0.715,0.714,15.143,3.485
95,0.3838383838383838,0.969,15.489,0.707,0.707,15.507,3.53
96,0.3878787878787879,0.987,15.354,0.733,0.713,15.372,3.488
97,0.39191919191919194,0.982,15.263,0.714,0.733,15.278,3.518
98,0.39595959595959596,0.96,15.363,0.691,0.716,15.381,3.487
99,0.4,0.969,15.612,0.714,0.722,15.628,3.506
